USER: 5 | ADDRESS 1: 14 East Pine Way | ADDRESS2:  | CITY: Barbican | PARISH: Manchester | LAND SIZE: 12 | LISTING TYPE: Rent | PROPERTY TYPE: Residential | BUILDING TYPE: Town House | BEDROOMS: 2 | BATHROOMS: 1 | PRICE: 45000

USER: 8 | ADDRESS 1: 123 LANE | ADDRESS2:  | CITY: KINGSTON | PARISH: Kingston & St. Andrew | LAND SIZE: 34 | LISTING TYPE: Rent | PROPERTY TYPE: Residential | BUILDING TYPE: Apartment | BEDROOMS: 12 | BATHROOMS: 6 | PRICE: 200000000000000000000

USER: 3 | ADDRESS 1: 6 Derwin | ADDRESS2:  | CITY: Kush | PARISH: Trelawny | LAND SIZE: 21 | LISTING TYPE: Rent | PROPERTY TYPE: Vacant Lot | BUILDING TYPE: Housing | BEDROOMS: 1 | BATHROOMS:  | PRICE: 40000

USER: 3 | ADDRESS 1: 6 Derwin | ADDRESS2:  | CITY: Kush | PARISH: Trelawny | LAND SIZE: 21 | LISTING TYPE: Rent | PROPERTY TYPE: Vacant Lot | BUILDING TYPE: Housing | BEDROOMS: 1 | BATHROOMS:  | PRICE: 40000

USER: 3 | ADDRESS 1: bombho | ADDRESS2:  | CITY: uuuu | PARISH: Kingston & St. Andrew | LAND SIZE: 23 | LISTING TYPE: Rent | PROPERTY TYPE: Residential | BUILDING TYPE: Town House | BEDROOMS: 0 | BATHROOMS: 0 | PRICE: 700000

USER: 3 | ADDRESS 1: gall test | ADDRESS2:  | CITY: aaaa | PARISH: St. Ann | LAND SIZE: 42 | LISTING TYPE: Rent | PROPERTY TYPE: Commercial | BUILDING TYPE: Apartment | BEDROOMS: 2 | BATHROOMS: 2 | PRICE: 244444444

USER: 3 | ADDRESS 1: bombo | ADDRESS2:  | CITY: claat | PARISH: Kingston & St. Andrew | LAND SIZE: 12 | LISTING TYPE: Lease | PROPERTY TYPE: Commercial | BUILDING TYPE: None | BEDROOMS: 1 | BATHROOMS: 1 | PRICE: 50

USER: 3 | ADDRESS 1: test | ADDRESS2:  | CITY: tom cruise | PARISH: Westmoreland | LAND SIZE: 5000 | LISTING TYPE: Purchase | PROPERTY TYPE: Residential | BUILDING TYPE: None | BEDROOMS: 0 | BATHROOMS: 0 | PRICE: 400000

USER: 3 | ADDRESS 1: omg | ADDRESS2:  | CITY: oh4 | PARISH: Kingston & St. Andrew | LAND SIZE: 4 | LISTING TYPE: Rent | PROPERTY TYPE: Vacant Lot | BUILDING TYPE: None | BEDROOMS: 0 | BATHROOMS: 0 | PRICE: 44

USER: 3 | ADDRESS 1: gallerydatabase | ADDRESS2:  | CITY: gallerydatabase | PARISH: Trelawny | LAND SIZE: 4000 | LISTING TYPE: Rent | PROPERTY TYPE: Commercial | BUILDING TYPE: Office Space | BEDROOMS: 2 | BATHROOMS: 2 | PRICE: 20000

